id,title,artist,genre,year,decade,clean_lyrics,word_count,topic_id,topic_label,overall_sentiment,sentiment_score,emotion_label,joy,sadness,anger,fear,surprise,disgust,neutral
8a7815e8-34bd-45e8-8351-f544457fd4c6,Bohemian Rhapsody,Queen,rock,1975,1970s,Walking down the road I see the signs of identity & self everywhere. The world keeps turning and I keep on moving through. Every day I wake up feeling something new inside. The music plays and takes me back to where I began.,43,2,Identity & Self,positive,0.82,joy,0.4989,0.0884,0.0315,0.1934,0.0156,0.0574,0.1148
fcd57fcf-c728-4ed0-a98b-fa61c4f5e48c,Hotel California,Eagles,rock,1977,1970s,Walking down the road I see the signs of nostalgia & memory everywhere. The world keeps turning and I keep on moving through. Every day I wake up feeling something new inside. The music plays and takes me back to where I began.,43,6,Nostalgia & Memory,negative,0.71,fear,0.0128,0.0564,0.0538,0.5066,0.1408,0.1544,0.0752
a3d8eb93-9f59-40f5-abec-97deecfe9695,Stairway to Heaven,Led Zeppelin,rock,1971,1970s,Walking down the road I see the signs of faith & spirituality everywhere. The world keeps turning and I keep on moving through. Every day I wake up feeling something new inside. The music plays and takes me back to where I began.,43,7,Faith & Spirituality,positive,0.68,surprise,0.0458,0.0734,0.0155,0.1959,0.3911,0.0848,0.1934
4c0b381e-9c90-43c8-845b-40ce87b0b442,Smells Like Teen Spirit,Nirvana,rock,1991,1990s,Walking down the road I see the signs of identity & self everywhere. The world keeps turning and I keep on moving through. Every day I wake up feeling something new inside. The music plays and takes me back to where I began.,43,4,Identity & Self,negative,0.79,anger,0.024,0.1397,0.489,0.1931,0.0219,0.0987,0.0336
6409a6ec-cdf5-4d60-8a38-843883e5decb,Sweet Home Alabama,Lynyrd Skynyrd,rock,1974,1970s,Walking down the road I see the signs of nostalgia & memory everywhere. The world keeps turning and I keep on moving through. Every day I wake up feeling something new inside. The music plays and takes me back to where I began.,43,6,Nostalgia & Memory,positive,0.74,joy,0.2499,0.1286,0.1297,0.1354,0.1,0.1128,0.1436
95052d64-e6e5-4376-9aaf-1abfbdbd8b75,Born to Run,Bruce Springsteen,rock,1975,1970s,Walking down the road I see the signs of identity & self everywhere. The world keeps turning and I keep on moving through. Every day I wake up feeling something new inside. The music plays and takes me back to where I began.,43,4,Identity & Self,positive,0.81,joy,0.3633,0.0235,0.1395,0.0298,0.1514,0.1412,0.1513
04a778b9-e07e-423e-bc8a-c1c5f90eb813,Wonderwall,Oasis,rock,1995,1990s,Walking down the road I see the signs of love & romance everywhere. The world keeps turning and I keep on moving through. Every day I wake up feeling something new inside. The music plays and takes me back to where I began.,43,0,Love & Romance,positive,0.76,joy,0.3128,0.1125,0.1268,0.1475,0.1106,0.1435,0.0463
1f7b9c90-f053-46d5-a6c0-1073124165e1,Losing My Religion,R.E.M.,rock,1991,1990s,Walking down the road I see the signs of faith & spirituality everywhere. The world keeps turning and I keep on moving through. Every day I wake up feeling something new inside. The music plays and takes me back to where I began.,43,7,Faith & Spirituality,negative,0.65,sadness,0.1262,0.3919,0.0227,0.1289,0.0671,0.1565,0.1067
2c897cbb-35e4-4e37-bcb0-ba374b2b8bfe,Black,Pearl Jam,rock,1991,1990s,Walking down the road I see the signs of love & romance everywhere. The world keeps turning and I keep on moving through. Every day I wake up feeling something new inside. The music plays and takes me back to where I began.,43,0,Love & Romance,negative,0.88,sadness,0.1236,0.3521,0.1134,0.1286,0.1217,0.0613,0.0994
161fb8ff-2069-44dd-9708-71db5f698f42,Mr. Brightside,The Killers,rock,2003,2000s,Walking down the road I see the signs of love & romance everywhere. The world keeps turning and I keep on moving through. Every day I wake up feeling something new inside. The music plays and takes me back to where I began.,43,0,Love & Romance,negative,0.72,anger,0.1004,0.1621,0.3991,0.0871,0.0919,0.0135,0.1458
